원본열번호,영역,항목명,기재값_또는_예시,원본파일
171,통합 미분류 항목,차수,결제 관리 번호 / XX241010 001 / 카테고리(대) / 검정 과목 / 도착어,수집된DB/통합사본.csv
172,통합 미분류 항목,시험 등급,결제일 / YY.MM.DD / 카테고리(중) / 분야 / 업로드 가능한 파일,수집된DB/통합사본.csv
173,통합 미분류 항목,시험 상태,결제 분류 / 포인트 / 구독 / 영상만들기 / 이미지만들기 / 템플릿 양식 / 카테고리(소) / 영역 / 사용 영역 / 이미지 / GIF / 영상 / 음악,수집된DB/통합사본.csv
174,통합 미분류 항목,응시 상태,응시 전 / 응시 완료 / 미응시 / 시험 응시 버튼 클릭 시 응시 완료 표시 / 결제 내용 / 서비스 이용 / 프리미엄 구독 / 포인트 충전 / 베이직 구독 / 구독 종류 3-4개임 / 문서 구매 / 조회수 높은 영상 만들기 / 프롬프르 생성 / 발표 대본 / 출발어 / 관련 태그,수집된DB/통합사본.csv
175,통합 미분류 항목,이름,홍길동 / 카테고리(대) / 번역 / 큐레이터 / 변호 / 컨설팅 / 회계 / 인사 / 전문가 승인일 / YY.MM.DD / 전문가 상태 중 [승인완료]로 수정할 날짜 표시 / 매칭 방법 / 직접 찾기 / 매칭 요청 / 자동 매칭 / 기타(기업) / (변환)매칭요청 / 일정 시간 동안 매칭이 이뤄지지 않으면 자동으로 매칭 요청으로 변환 / 삼담 완료일,수집된DB/통합사본.csv
176,통합 미분류 항목,답안 제출,제출 완료 / 미제출 / 제출 전 / 임시저장은 ? / 결제 상세 내용 / 서비스 유형 + 서비스 방법 + 긴급 여부 / 도착어 / AI 설정,수집된DB/통합사본.csv
177,통합 미분류 항목,성적 발표일,"이용 금액 / 100,000 / 50,000 / 55,000 / 요청 파일 / 사용자가 의뢰하기 위해 업로드 한 파일 / 원본 기본 기능 / 구성 보기 / 요약보기 / 목차 만들기",수집된DB/통합사본.csv
178,통합 미분류 항목,시험 연기일,"2차 / 할인 금액 / 10,000 / 5,000 / 완료 파일 / 전문가가 완료된 파일을 업로드한 파일 / 원본 추가 기능 / AI 세부 설정 변경 / 파일 통합 / 다운로드 설정",수집된DB/통합사본.csv
179,통합 미분류 항목,시험 결과,"합격 / 불합격 / 해당없음 / 결제 금액 / 90,000 / 50,000 / 작업 단위 / 글자수 / 자동인식 / 원본 하단 요약 / 사용 중인 AI / 예상 금액 / 사용 금액 / 사용중인 구독제 / 보유 포인트",수집된DB/통합사본.csv
180,통합 미분류 항목,채점 방식,"자동 채점 / AI재첨 / 휴먼 채점 / AI+휴먼 / 개별 채점표따로 만들어야할듯 / 보유 포인트 / 150,000 / 20,000 / 작업 분량 / 10,000 / AI 기본 기능 / AI 세부 설정 변경 / 요약보기 / 목차 만들기",수집된DB/통합사본.csv
181,통합 미분류 항목,채점 점수,"80 / 주관식 
객관식 
윤리시험 각각 채점점수 필요함 / 결제 방법 / 카드 결제 / 카카오 페이 / 네이버 페이 / 포인트 사용 / 구독사용 / 추가 적립(관리자 직접 추가) / 포인트 사용에 사용 내역이 표시됨 / 작업 소요 시간 / 3시간 이내 / 6시간 이내 / 24시간 이내 / 12시간 이내 / 희망일 이내 / AI 추가 기능 / AI 세부 설정 축 / 요약보기 / 목차 만들기 / 다운로드 설정 / 미리 보기",수집된DB/통합사본.csv
182,통합 미분류 항목,합격 기준 점수,80 / 결제 상태 / 정상 / 환불 / 완료 희망일 / AI하단 요약 / 글자수 / 길이 / 사용 중인 AI / 사용 중인 번역기,수집된DB/통합사본.csv
183,통합 미분류 항목,총점,100 / 더보기 / 환불 정보 (개발 완료 전 확정 필요) / 부가 비용 / 카드사 / 최초 결제일 / 카드번호 / 승인번호 / 매칭 상태 / (매칭 별도) / 매칭 요청 / 매칭 수락 / 매칭 거절 / 매칭 취소 / 요청 후 다른 전문가 수락 시 다른 전문가에게는 삭제? / 매칭거절은 전문가/매칭취소는 회원 또는 관리자 / 히스토리 기본 기능 / 메모장 / 요약보기 / 목차 만들기,수집된DB/통합사본.csv
184,통합 미분류 항목,사용 에디터,프롬프트 에디터 / 자체 문서툴 / 환불접수일 / YYYY.MM.DD / 각 서비스 별 환불 규정 정리 필요- 모든 규정은 공지사항처럼 프로그램으로 변경수정가능하게 개발바람-> 어떤게 있을까요 / 거절 사유 / 다른 작업 진행 중 / 금액이 맞지 않음 / 요창한 시일 내에 완료가 어려움 / 전문 분야가 아님 / 단순 변심 / 기타 / 해당 전문가 부재 / 히스토리 추가 기능 / 히스토리 설정 / 불러오기 / 파일 업로드 / 다운로드 설정,수집된DB/통합사본.csv
185,통합 미분류 항목,개별 피드백 신청,피드백 신청 / 피드백 중 / 피드백 완료 / 환불 상태 / 환불 요청 / 환불 완료 / 환불 중 / 환불 취소 / 매칭 설정 / 1:1 채팅 / 대면 / 파일 제공 / 전화(화상) / 히스토리 하단 요약 / 수정 글자수 / 이벤트,수집된DB/통합사본.csv
186,통합 미분류 항목,성별,남 / 여 / 카테고리 (중) / 영어 / 전시회 / 민사법 / 영업 / 세무정산 / 취업 / 이력서 (첨부파일) / file.docx / 첨부 파일 / 매칭 상태 / 요청 / 매칭 중 / 매칭 완료 / 서비스 완료 / 작업 중 / 임시저장 ? / 문의 제목 / 텍스트,수집된DB/통합사본.csv
187,통합 미분류 항목,긴급 연락처,학생의 부모 등 긴급 연락처 입력 / 환불계좌 / 111111-11-11111 / 등록 상태 / (문서 별도) / 검증 전 / 수정 요청 / 삭제 / 게시 완료 / 자체 사용 / 에디터 전체 기능 / 변경된 텍스트 표시 / 문장 나누기 / 선택 모아보기 / 선택 문장 삭테 / 공유 / 삭제 문장 확인,수집된DB/통합사본.csv
188,통합 미분류 항목,시험 가능 기간,24.10.10~24.10.10 / 환불 예금주 / 홍길동 / 제목 / 이벤트 설정 / 이벤트 관리 번호,수집된DB/통합사본.csv
189,통합 미분류 항목,시험일,"관리자 설정 / 환불 금액 / 10,000 / 적용 사이트 / 메타번역 / 시험 / 문서 / 전체 / 집단 지성",수집된DB/통합사본.csv
190,통합 미분류 항목,지역 (개발 완료 전 확정 필요),경기도 / 부산 / 경상도 / 충청도 / 전라도 / 강원도 / 해외 / 그 외 / 2step?미국 / 캐나다 / 중국 / 프랑스 / 멕시코 / 필리핀 / 그외 / 사용자 화면에 표시되는 시험일 / 환불일 / YY.MM.DD / 이벤트 기간 / YY.MM.DD~YY.MM.DD,수집된DB/통합사본.csv
191,통합 미분류 항목,성적 발표일,"국내는 나열 
해외는 한개로 일단 구분 / 환불 사유 / 단순 변심 / 추가 주문 / 재주문 / 기타 / 매칭 서비스는 직접 요청 1시간 후 취소 불가 / 할인 방법 / 결제 금액 적용 / 회원별 적용",수집된DB/통합사본.csv
192,통합 미분류 항목,접수 구분,정시 / 수시 / 업체 / 관리자 설정 / 관리자 메모 / 텍스트 / 환불사유와관리자 메모등 텍스트 많은경우 는 1줄-2둘만보이고 세부내용은  마우스 올리면 내용보임 / 적용 범위 / 모든 회원 / 이벤트 참여 회원 / 가입 회원 / 서비스 이용 회원,수집된DB/통합사본.csv
193,통합 미분류 항목,차수,24년1차 / 할인금액 / 결제 금액 10% 할인 / 결제 금액 -1만원 / 서비스 무료 / 포인트 직접 주기,수집된DB/통합사본.csv
194,통합 미분류 항목,시헙 종목 (개발 완료 전 확정 필요),번역 자격증 / STEP? 웹툰 / 문서 / 영상 / 유투브 / 다큐멘터리 / 예능 / 프롬프트 언어 전문가 / STEP?  문서 / PPT / 코딩 / 이미지,수집된DB/통합사본.csv
195,통합 미분류 항목,시험명,AI 언어시험 / 여러가지 / GPT / 시험에 스텝은 어떻게 할까요 ? 홈페이지 메뉴가 추가되는 내용이므로 관리자에서 추가하는 건 어려움. 구분 없이 진행하는지 최종 확인 필요,수집된DB/통합사본.csv
196,통합 미분류 항목,나이,34 / 입력한 생년월일로 자동 계산 / 카테고리(소) / 국가 / 서비스 가능 유형 / 대면 / 전화(화상) / 파일 / 채팅 / 단순 편집 / 문서 작성 / 출제 / 설문 / 채점 / 다중선택 / 작업 상태 / 작업 전 / 작업 중 / 작업 완료 / 문의 내용 / 텍스트,수집된DB/통합사본.csv
197,통합 미분류 항목,출제 목적,연습용 / 응시용 / 시험 유형 / 설문,수집된DB/통합사본.csv
198,통합 미분류 항목,기본값 여부,기본값,수집된DB/통합사본.csv
199,통합 미분류 항목,시험등급 (개발 완료 전 확정 필요),전문 1급 / 전문 2급 / 교육 1급-8급 / 일반 1급-3급,수집된DB/통합사본.csv
200,통합 미분류 항목,검정과목 (개발 완료 전 확정 필요),급수전체 풀기,수집된DB/통합사본.csv
201,통합 미분류 항목,분야 (개발 완료 전 확정 필요),카테고리(대)로 대치 가능한지 고민 중,수집된DB/통합사본.csv
202,통합 미분류 항목,영역 (개발 완료 전 확정 필요),카테고리(대)로 대치 가능한지 고민 중,수집된DB/통합사본.csv
203,통합 미분류 항목,교시,"시험 전 / 1교시 / 2교시 / 3교시 / 4교시 / 카테고리(대)로 대치 가능한지 고민 중 / 디비정리하며 / 각 홈페이지에 들어가면 번역 문서 시험 매칭등에 세부 디비가  추가, 변경, 분류, 삭제, 확장(1-3단계)될듯한데 그런것들을 미리 색깔이나의견을 넣어두거나 회의할때 같이 어떻게 할것인지 개발자와 의논이 필요할듯함 / 각 카테로리 대중소 어려개인데 분류 필요함 / 통계와 , 전문가 결산, 대시보드, 관리자의 영역등이 변활수있을것으로 보임 / 번역 / 시험 / 매칭 / 문서 / 디비를 처음에 하는것은 49% 완성이라고 생각하고 개발자가 정리하고 그후 모듈 1개 홈피 1개를 개발해보고 나머지 디비를 수정하는 작업 1회 / 홈페이지 3-4개 만들어지고 마무리 1회 이렇게 해야할듯한데 개발자의 수정에 대한 의견이 필요할듯합니다",수집된DB/통합사본.csv
204,통합 미분류 항목,출발어,"응시생 접수 시 순서별로 시험 제공 / 타업체 번역에디팅 시스템 추가 혹은 기존 에디팅에서 확장변경 수정등이 있을것임 / 번역의 형태 STT/TTS/STS등에서 단계확장되어 웹툰 영화 다큐멘터리 , 소설등으로 분류확장. 그리고 변경등이될듯함 / 시험의 종류도 번역처럼 될수있고 GPT에서도 디자인 소설만들기 , 논문쓰기등 확장되고 통계등도 / 전문가들의 영역에 따란 변할것들이 많아보임 / 문서는 자동판매 , 전문가의 역활에서 오는 상황, 위치기반 데이터 활용에 따른 여러 변화가 있을듯함",수집된DB/통합사본.csv
205,통합 미분류 항목,도착어,,수집된DB/통합사본.csv
206,통합 미분류 항목,시험유형,시험 유형(링크),수집된DB/통합사본.csv
207,결제에 있는 서비스 유형 중복,카테고리(대)  (개발 완료 전 확정 필요),번역 / 인사 / 변호 / 회계 / 영업 / 매칭(제작) / 매칭(단순편집) / 매칭(출제) / 매칭(채점) / 매칭(채점피드백) / 판매 / 시험 / 기업(단체) / 카테고리가 홈피에 따라 분류할수있도록 / 서비스 유형별 / 통계(개발 완료 전 확정 필요) / AI(텍스트) / AI(영상) / AI(이미지) / AI(음악) / 번역기 / 휴텍씨 에디터 / 개발테스트 / 양식 에디터 / 멤소스 에디터 / 매칭(감수) / 영상 편집 에디터 / 매칭(작성) / 저서명 / 카테고리 (중) / YY.MM.DD / 사용처 / 문서 양식 작성한 날짜 기준 / 게시 시작일 / 텍스트 / STS-동시통역 / 3건(2건),수집된DB/통합사본.csv
208,결제에 있는 서비스 유형 중복 1,결제에 있는 서비스 유형 중복 1,,수집된DB/통합사본.csv
209,문제 및 채점,시험명,,수집된DB/통합사본.csv
210,시험 양식,양식 관리 번호,XX241010 001,수집된DB/통합사본.csv
211,시험정보,시험 관리 번호,"환불은행 / 카카오뱅크 / 신한은행 / 기업은행 / 우리은행 / 판매 금액 / 무료 / 5,000 / 100,000 / 10,000 / 에디터 문장별 기능 / 문장 선택 / 웹 검색 / 문장 삭제 / 문장 추가",수집된DB/통합사본.csv
212,자격증,자격증,신청 / 취소 / 미신청 / ? 환불은 아니죠 / 개발자 확인 : 화면 기획 시 구체적으로 정리될 예정,수집된DB/통합사본.csv
213,회원 활동 정보,회원 번호,XX241010 001 / 서비스 단위 / 글자수 / 시간당 / 장당 / 직위 / 정산 후 잔액 / FAQ / FAQ 관리 번호 / XX001 / 이게 내용인가요 ? 왜 번호가 / 공통과 일반으로 / 영상 / 3건(2건),수집된DB/통합사본.csv
214,회원정보,회원 번호,"XX241010 001 / 결제 기준 번호 / 결제 기준 관리(개발 완료 전 확정 필요) / XX001 / 전문가 관리 번호 / 전문가 정보 / 모든 관리번호는 2줄로 / (매칭 별도) / 매칭 관리 번호 / 상태 / 문의 요청 / 답변 중 / 답변 완료 / DPF ,이미지, PPT, 전문문서, 법률문서, 의학문서, 고전문서, / 예능, 드라마, 다큐, 영화, 가요, 인터뷰, 녹화 파일, 강의 컨탠츠 / 아나운서, 사내방송, 회사소개, 전시장, / 관광가이드, 전문통역, 비밀통역, 관광지통역, 유적지통역, 컨퍼런스, 인터뷰 / 텍스트, 이미지,",수집된DB/통합사본.csv
